Feature,Mean_Absolute_SHAP
aod_047_mean,42.209965
temp_2m_c,13.682765
wind_speed_m_s,10.83513
aqi_roll7_avg,5.9567513
wind_u_10m,2.8853488
cos_day,2.3698597
aqi_roll7_std,1.2681167
wind_speed_m_s_lag1,0.72867733
target_aqi_lag3,0.69848317
surface_pressure_pa,0.6889766
wind_v_10m,0.62008464
est_no2_ppb_lag7,0.52803403
est_pm25_lag3,0.41554666
est_pm25_lag1,0.39425853
precipitation_m,0.39024678
wind_speed_m_s_lag7,0.36630782
no2_max,0.363405
est_pm25_lag7,0.3246564
no2_min,0.31777728
no2_mean,0.29036003
wind_speed_m_s_lag3,0.2637168
sin_day,0.23594335
est_no2_ppb_lag3,0.23589006
est_no2_ppb_lag1,0.23059928
target_aqi_lag1,0.19610842
target_aqi_lag7,0.124942265
